,999,940,881,823,764,705,646,588,529,470,411,353,294,235,176,118,059,000,-01,norm
940,0.561,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
881,0.326,0.481,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
823,0.197,0.292,0.494,0.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999
764,0.123,0.181,0.307,0.494,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999
705,0.079,0.117,0.197,0.318,0.502,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997
646,0.052,0.077,0.131,0.211,0.333,0.506,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993
588,0.036,0.053,0.09,0.144,0.228,0.347,0.508,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985
529,0.025,0.037,0.062,0.1,0.159,0.241,0.353,0.496,0.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971
470,0.018,0.026,0.044,0.071,0.112,0.17,0.249,0.349,0.485,0.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946
411,0.012,0.018,0.031,0.05,0.079,0.12,0.176,0.247,0.342,0.462,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907
353,0.009,0.013,0.022,0.035,0.056,0.084,0.123,0.173,0.24,0.324,0.43,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
294,0.006,0.009,0.015,0.024,0.037,0.057,0.083,0.117,0.162,0.218,0.29,0.38,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.769
235,0.004,0.005,0.009,0.015,0.024,0.036,0.053,0.074,0.102,0.138,0.183,0.24,0.324,0.449,0.0,0.0,0.0,0.0,0.0,0.662
176,0.002,0.003,0.005,0.008,0.013,0.02,0.03,0.042,0.058,0.078,0.103,0.135,0.183,0.253,0.375,0.0,0.0,0.0,0.0,0.529
118,0.001,0.001,0.002,0.004,0.006,0.009,0.014,0.019,0.027,0.036,0.048,0.062,0.084,0.117,0.173,0.285,0.0,0.0,0.0,0.375
059,0.0,0.0,0.001,0.001,0.002,0.003,0.004,0.005,0.007,0.01,0.013,0.017,0.023,0.032,0.047,0.077,0.173,0.0,0.0,0.201
000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
